"Country","Capital.City","Latitude","Longitude","Population","Capital.Type","tz","sunrise","sunset","solar_noon","day_length","civil_twilight_begin","civil_twilight_end","nautical_twilight_begin","nautical_twilight_end","astronomical_twilight_begin","astronomical_twilight_end","date"
"Saint Lucia","Castries",14.006,-60.991,22258,"Capital","America/St_Vincent",06:26:43,17:48:01,12:07:22,11:21:18,06:04:49,18:09:55,05:38:12,18:36:31,05:11:48,19:02:56,2020-01-01
"Saint Pierre and Miquelon","Saint-Pierre",46.7738,-56.1815,5723,"Capital","America/St_Johns",07:57:45,16:38:29,12:18:07,08:40:44,07:24:35,17:11:40,06:46:08,17:50:06,06:09:18,18:26:56,2020-01-01
"Saint Vincent and the Grenadines","Kingstown",13.1587,-61.2248,26636,"Capital","America/St_Vincent",06:26:08,17:50:28,12:08:18,11:24:20,06:04:19,18:12:17,05:37:48,18:38:48,05:11:27,19:05:09,2020-01-01
"Samoa","Apia",-13.8333,-171.7667,36066,"Capital","Pacific/Apia",07:01:40,19:59:34,13:30:37,12:57:54,06:39:27,20:21:46,06:11:50,20:49:23,05:43:37,21:17:37,2020-01-01
"San Marino","San Marino",43.9333,12.45,4465,"Capital","Europe/San_Marino",07:42:55,16:44:05,12:13:30,09:01:10,07:11:49,17:15:12,06:35:28,17:51:32,06:00:28,18:26:32,2020-01-01
"Sao Tome and Principe","São Tomé",0.3365,6.7273,80099,"Capital","Africa/Sao_Tome",05:32:10,17:40:38,11:36:24,12:08:28,05:10:53,18:01:55,04:44:46,18:28:02,04:18:32,18:54:16,2020-01-01
"Saudi Arabia","Ar-Riyadh (Riyadh)",24.6905,46.7096,6906595,"Capital","Asia/Riyadh",06:36:07,17:16:43,11:56:25,10:40:36,06:12:34,17:40:16,05:44:13,18:08:37,05:16:18,18:36:32,2020-01-01
"Senegal","Dakar",14.6937,-17.4441,2978419,"Capital","Africa/Dakar",07:33:43,18:52:31,13:13:07,11:18:48,07:11:44,19:14:30,06:45:03,19:41:11,06:18:35,20:07:39,2020-01-01
"Serbia","Beograd (Belgrade)",44.8176,20.4633,1389351,"Capital","Europe/Belgrade",07:13:56,16:08:56,11:41:26,08:55:00,06:42:14,16:40:39,06:05:16,17:17:36,05:29:44,17:53:09,2020-01-01
"Seychelles","Victoria",-4.6167,55.45,28091,"Capital","Indian/Mahe",06:08:45,18:34:08,12:21:27,12:25:23,05:47:20,18:55:33,05:20:56,19:21:58,04:54:17,19:48:36,2020-01-01
"Sierra Leone","Freetown",8.484,-13.2299,1135949,"Capital","Africa/Freetown",07:05:56,18:46:35,12:56:15,11:40:39,06:44:27,19:08:03,06:18:16,19:34:15,05:52:09,20:00:22,2020-01-01
"Singapore","Singapore",1.2897,103.8501,5791901,"Capital","Asia/Singapore",07:05:10,19:10:23,13:07:47,12:05:13,06:43:54,19:31:40,06:17:47,19:57:47,05:51:36,20:23:58,2020-01-01
"Sint Maarten (Dutch part)","Philipsburg",18.026,-63.0458,40552,"Capital","America/Lower_Princes",06:42:16,17:48:54,12:15:35,11:06:38,06:19:53,18:11:17,05:52:46,18:38:24,05:25:57,19:05:13,2020-01-01
"Slovakia","Bratislava",48.1482,17.1067,429920,"Capital","Europe/Bratislava",07:40:03,16:09:41,11:54:52,08:29:38,07:05:42,16:44:02,06:26:06,17:23:39,05:48:16,18:01:29,2020-01-01
"Slovenia","Ljubljana",46.0511,14.5051,286491,"Capital","Europe/Ljubljana",07:42:16,16:28:18,12:05:17,08:46:02,07:09:39,17:00:55,06:31:46,17:38:48,05:55:26,18:15:08,2020-01-01
"Solomon Islands","Honiara",-9.4333,159.95,81801,"Capital","Pacific/Guadalcanal",06:02:12,18:44:25,12:23:19,12:42:13,05:40:28,19:06:09,05:13:32,19:33:05,04:46:12,20:00:25,2020-01-01
"Somalia","Muqdisho (Mogadishu)",2.0416,45.3435,2081624,"Capital","Africa/Mogadishu",06:00:33,18:03:13,12:01:53,12:02:40,05:39:16,18:24:30,05:13:11,18:50:35,04:47:02,19:16:44,2020-01-01
"South Africa","Cape Town",-33.9258,18.4232,4430367,"Legislative Capital","Africa/Johannesburg",05:37:06,20:02:06,12:49:36,14:25:00,05:09:35,20:29:38,04:33:54,21:05:18,03:54:56,21:44:17,2020-01-01
"South Sudan","Juba",4.8517,31.5825,368914,"Capital","Africa/Juba",07:00:24,18:53:30,12:56:57,11:53:06,06:39:04,19:14:49,06:12:59,19:40:55,05:46:54,20:07:00,2020-01-01
"Spain","Madrid",40.4165,-3.7026,6497124,"Capital","Europe/Madrid",08:36:15,18:00:01,13:18:08,09:23:46,08:07:14,18:29:02,07:33:04,19:03:12,06:59:58,19:36:18,2020-01-01
"Sri Lanka","Colombo",6.9319,79.8478,599821,"Capital","Asia/Colombo",06:20:50,18:06:49,12:13:49,11:45:59,05:59:26,18:28:12,05:33:18,18:54:21,05:07:13,19:20:26,2020-01-01
"State of Palestine","Al-Quds[East Jerusalem]",31.7834,35.2339,275086,"Capital","Asia/Jerusalem",06:37:35,16:47:06,11:42:20,10:09:31,06:12:09,17:12:31,05:41:47,17:42:53,05:12:05,18:12:36,2020-01-01
"Sudan","Al-Khartum (Khartoum)",15.5518,32.5324,5534079,"Capital","Africa/Khartoum",06:15:18,17:30:59,11:53:09,11:15:41,05:53:14,17:53:03,05:26:27,18:19:50,04:59:54,18:46:24,2020-01-01
"Suriname","Paramaribo",5.8664,-55.1668,239457,"Capital","America/Paramaribo",06:49:14,18:38:53,12:44:04,11:49:39,06:27:53,19:00:14,06:01:47,19:26:20,05:35:42,19:52:25,2020-01-01
"Swaziland","Mbabane",-26.3167,31.1333,68010,"Capital","Africa/Mbabane",05:04:43,18:52:47,11:58:45,13:48:04,04:39:59,19:17:30,04:08:37,19:48:52,03:35:35,20:21:54,2020-01-01
"Sweden","Stockholm",59.3326,18.0649,1582968,"Capital","Europe/Stockholm",08:41:02,15:01:03,11:51:02,06:20:01,07:49:26,15:52:38,06:54:35,16:47:30,06:04:25,17:37:39,2020-01-01
"Switzerland","Bern",46.9481,7.4474,422153,"Capital","Europe/Zurich",08:13:54,16:53:08,12:33:31,08:39:14,07:40:35,17:26:27,07:01:59,18:05:03,06:25:02,18:42:00,2020-01-01
"Syrian Arab Republic","Dimashq (Damascus)",33.5086,36.3084,2319545,"Capital","Asia/Damascus",06:37:26,16:38:38,11:38:02,10:01:12,06:11:26,17:04:39,05:40:26,17:35:38,05:10:10,18:05:54,2020-01-01
"Tajikistan","Dushanbe",38.5358,68.7791,872653,"Capital","Asia/Dushanbe",07:40:48,17:15:26,12:28:07,09:34:38,07:12:43,17:43:30,06:39:32,18:16:41,06:07:19,18:48:55,2020-01-01
"TFYR Macedonia","Skopje",42,21.4333,584208,"Capital","Europe/Skopje",07:00:36,16:14:31,11:37:33,09:13:55,06:30:42,16:44:25,05:55:36,17:19:31,05:21:42,17:53:25,2020-01-01
"Thailand","Krung Thep (Bangkok)",13.722,100.5252,10156316,"Capital","Asia/Bangkok",06:39:58,18:02:12,12:21:05,11:22:14,06:18:05,18:24:05,05:51:30,18:50:40,05:25:07,19:17:04,2020-01-01
"Timor-Leste","Dili",-8.5601,125.5668,281135,"Capital","Asia/Makassar",05:21:20,18:00:26,11:40:53,12:39:06,04:59:40,18:22:07,04:32:51,18:48:55,04:05:40,19:16:07,2020-01-01
"Togo","Lomé",6.1375,1.2123,1745744,"Capital","Africa/Lome",06:04:07,17:52:49,11:58:28,11:48:42,05:42:45,18:14:11,05:16:38,18:40:18,04:50:33,19:06:23,2020-01-01
"Tokelau","Tokelau",-9.38,-171.25,0,"Others","Pacific/Pago_Pago",06:07:36,18:49:29,12:28:33,12:41:53,05:45:52,19:11:13,05:18:58,19:38:07,04:51:40,20:05:26,2020-01-01
"Tonga","Nuku'alofa",-21.1394,-175.2032,22904,"Capital","Pacific/Tongatapu",06:01:23,19:27:20,12:44:22,13:25:57,05:37:58,19:50:46,05:08:31,20:20:12,04:38:00,20:50:43,2020-01-01
"Trinidad and Tobago","Port of Spain",10.6662,-61.5166,544417,"Capital","America/Port_of_Spain",06:22:55,17:56:01,12:09:28,11:33:06,06:01:18,18:17:37,05:34:59,18:43:57,05:08:48,19:10:08,2020-01-01
"Tunisia","Tunis",36.819,10.1658,2290777,"Capital","Africa/Tunis",07:30:32,17:14:45,12:22:39,09:44:13,07:03:15,17:42:03,06:30:52,18:14:25,05:59:23,18:45:54,2020-01-01
"Turkey","Ankara",39.9199,32.8543,4919074,"Capital","Europe/Istanbul",08:08:31,17:35:12,12:51:52,09:26:41,07:39:46,18:03:57,07:05:52,18:37:51,06:33:00,19:10:43,2020-01-01
"Turkmenistan","Ashgabat",37.95,58.3833,810186,"Capital","Asia/Ashgabat",08:20:44,17:58:41,13:09:43,09:37:57,07:52:56,18:26:29,07:20:02,18:59:23,06:48:04,19:31:21,2020-01-01
"Turks and Caicos Islands","Cockburn Town",21.4612,-71.1419,5447,"Capital","America/Santo_Domingo",07:21:11,18:14:46,12:47:59,10:53:35,06:58:16,18:37:41,06:30:35,19:05:22,06:03:17,19:32:41,2020-01-01
"Tuvalu","Funafuti",-8.5189,179.1991,7042,"Capital","Pacific/Funafuti",05:46:48,18:25:47,12:06:17,12:38:59,05:25:08,18:47:27,04:58:19,19:14:15,04:31:08,19:41:26,2020-01-01
"Uganda","Kampala",0.3163,32.5822,2986352,"Capital","Africa/Kampala",06:48:41,18:57:13,12:52:57,12:08:32,06:27:24,19:18:30,06:01:16,19:44:37,05:35:02,20:10:51,2020-01-01
"Ukraine","Kyiv (Kiev)",50.4454,30.5186,2956706,"Capital","Europe/Kiev",07:56:23,16:06:01,12:01:12,08:09:38,07:19:48,16:42:37,06:38:00,17:24:25,05:58:18,18:04:07,2020-01-01
"United Arab Emirates","Abu Zaby (Abu Dhabi)",24.4648,54.3618,1419699,"Capital","Asia/Dubai",07:05:03,17:46:33,12:25:48,10:41:30,06:41:33,18:10:03,06:13:14,18:38:22,05:45:22,19:06:14,2020-01-01
"United Kingdom","London",51.5085,-0.1257,9046485,"Capital","Europe/London",08:04:00,16:03:39,12:03:49,07:59:39,07:26:13,16:41:26,06:43:17,17:24:21,06:02:38,18:05:00,2020-01-01
"United Republic of Tanzania","Dodoma",-6.1722,35.7395,261645,"Capital","Africa/Dar_es_Salaam",06:24:56,18:55:41,12:40:19,12:30:45,06:03:26,19:17:11,05:36:54,19:43:44,05:10:04,20:10:34,2020-01-01
"United States of America","Washington, D.C.",38.8951,-77.0364,5206593,"Capital","America/New_York",07:25:09,16:57:59,12:11:34,09:32:50,06:56:55,17:26:13,06:23:33,17:59:35,05:51:10,18:31:57,2020-01-01
"United States Virgin Islands","Charlotte Amalie",18.3419,-64.9307,52322,"Capital","America/St_Thomas",06:50:24,17:55:52,12:23:08,11:05:28,06:27:58,18:18:17,06:00:49,18:45:26,05:33:57,19:12:18,2020-01-01
"Uruguay","Montevideo",-34.8335,-56.1674,1736989,"Capital","America/Montevideo",05:33:10,20:02:57,12:48:04,14:29:47,05:05:13,20:30:54,04:28:53,21:07:15,03:48:55,21:47:13,2020-01-01
"Uzbekistan","Tashkent",41.2647,69.2163,2463969,"Capital","Asia/Tashkent",07:47:08,17:05:35,12:26:22,09:18:27,07:17:40,17:35:04,06:43:00,18:09:44,06:09:28,18:43:16,2020-01-01
"Vanuatu","Port Vila",-17.7338,168.3219,52690,"Capital","Pacific/Efate",05:13:25,18:26:12,11:49:49,13:12:47,04:50:37,18:49:00,04:22:07,19:17:30,03:52:47,19:46:50,2020-01-01
"Venezuela (Bolivarian Republic of)","Caracas",10.488,-66.8792,2934560,"Capital","America/Caracas",06:44:04,18:17:47,12:30:55,11:33:43,06:22:28,18:39:23,05:56:09,19:05:41,05:29:58,19:31:52,2020-01-01
"Viet Nam","Hà Noi",21.0245,105.8412,4282738,"Capital","Asia/Bangkok",06:32:15,17:27:23,11:59:49,10:55:08,06:09:24,17:50:14,05:41:47,18:17:50,05:14:32,18:45:06,2020-01-01
"Wallis and Futuna Islands","Matu-Utu",-13.2816,-176.1745,1025,"Capital","Pacific/Wallis",05:20:19,18:16:11,11:48:15,12:55:52,04:58:10,18:38:19,04:30:39,19:05:50,04:02:34,19:33:56,2020-01-01
"Western Sahara","El Aaiún",27.1532,-13.2014,232388,"Capital","Africa/El_Aaiun",08:40:58,19:11:19,13:56:09,10:30:21,08:16:51,19:35:26,07:47:54,20:04:24,07:19:27,20:32:50,2020-01-01
"Yemen","Sana'a'",15.3531,44.2078,2779317,"Capital","Asia/Aden",06:28:14,17:44:38,12:06:26,11:16:24,06:06:11,18:06:41,05:39:25,18:33:26,05:12:53,18:59:58,2020-01-01
"Zambia","Lusaka",-15.4134,28.2771,2523844,"Capital","Africa/Lusaka",05:38:14,18:42:07,12:10:10,13:03:53,05:15:49,19:04:32,04:47:51,19:32:30,04:19:13,20:01:08,2020-01-01
"Zimbabwe","Harare",-17.8294,31.0539,1515016,"Capital","Africa/Harare",05:22:32,18:35:35,11:59:04,13:13:03,04:59:44,18:58:24,04:31:13,19:26:55,04:01:51,19:56:16,2020-01-01
