"Country","Capital.City","Latitude","Longitude","Population","Capital.Type","tz","sunrise","sunset","solar_noon","day_length","civil_twilight_begin","civil_twilight_end","nautical_twilight_begin","nautical_twilight_end","astronomical_twilight_begin","astronomical_twilight_end","date"
"Ghana","Accra",5.556,-0.1969,2439389,"Capital","Africa/Accra",06:08:45,17:59:27,12:04:06,11:50:42,05:47:25,18:20:48,05:21:19,18:46:54,04:55:14,19:12:59,2020-01-01
"Gibraltar","Gibraltar",36.1447,-5.3526,34733,"Capital","Europe/Gibraltar",08:30:49,18:18:39,13:24:44,09:47:50,08:03:49,18:45:40,07:31:45,19:17:44,07:00:31,19:48:57,2020-01-01
"Greece","Athínai (Athens)",37.9534,23.749,3155600,"Capital","Europe/Athens",07:39:18,17:17:17,12:28:18,09:37:59,07:11:30,17:45:05,06:38:36,18:17:59,06:06:38,18:49:57,2020-01-01
"Greenland","Nuuk (Godthåb)",64.1835,-51.7216,18406,"Capital","America/Godthab",10:14:32,14:46:01,12:30:16,04:31:29,09:02:39,15:57:53,07:54:27,17:06:06,06:54:48,18:05:44,2020-01-01
"Grenada","St.George's",12.0564,-61.7485,39297,"Capital","America/Grenada",06:26:17,17:54:30,12:10:24,11:28:13,06:04:34,18:16:13,05:38:08,18:42:39,05:11:52,19:08:55,2020-01-01
"Guadeloupe","Basse-Terre",15.9985,-61.7255,58397,"Capital","America/Guadeloupe",06:33:15,17:47:21,12:10:18,11:14:06,06:11:08,18:09:29,05:44:18,18:36:19,05:17:42,19:02:54,2020-01-01
"Guam","Hagåtña",13.4757,144.7489,146905,"Capital","Pacific/Guam",06:42:35,18:05:41,12:24:08,11:23:06,06:20:44,18:27:32,05:54:10,18:54:06,05:27:47,19:20:28,2020-01-01
"Guatemala","Ciudad de Guatemala (Guatemala City)",14.6127,-90.5307,2851104,"Capital","America/Guatemala",06:25:59,17:45:08,12:05:34,11:19:09,06:04:02,18:07:06,05:37:21,18:33:46,05:10:54,19:00:13,2020-01-01
"Guinea","Conakry",9.5716,-13.6476,1843121,"Capital","Africa/Conakry",07:09:29,18:46:22,12:57:56,11:36:53,06:47:57,19:07:55,06:21:42,19:34:10,05:55:33,20:00:19,2020-01-01
"Guinea-Bissau","Bissau",11.8636,-15.5977,558399,"Capital","Africa/Bissau",07:21:17,18:50:10,13:05:44,11:28:53,06:59:35,19:11:53,06:33:10,19:38:17,06:06:55,20:04:33,2020-01-01
"Guyana","Georgetown",6.8045,-58.1553,109934,"Capital","America/Guyana",06:02:48,17:49:14,11:56:01,11:46:26,05:41:24,18:10:38,05:15:17,18:36:45,04:49:12,19:02:50,2020-01-01
"Haiti","Port-au-Prince",18.5392,-72.335,2636763,"Capital","America/Port-au-Prince",06:20:23,17:25:07,11:52:45,11:04:44,05:57:56,17:47:34,05:30:45,18:14:46,05:03:52,18:41:39,2020-01-01
"Holy See","Vatican City",41.9024,12.4533,801,"Capital","Europe/Rome",07:36:13,16:50:46,12:13:29,09:14:33,07:06:22,17:20:36,06:31:20,17:55:39,05:57:29,18:29:30,2020-01-01
"Honduras","Tegucigalpa",14.0818,-87.2068,1363041,"Capital","America/Tegucigalpa",06:11:44,17:32:47,11:52:16,11:21:03,05:49:50,17:54:41,05:23:13,18:21:18,04:56:48,18:47:43,2020-01-01
"Hungary","Budapest",47.498,19.0399,1759497,"Capital","Europe/Budapest",07:29:42,16:04:34,11:47:08,08:34:52,06:55:55,16:38:21,06:16:52,17:17:24,05:39:31,17:54:45,2020-01-01
"Iceland","Reykjavík",64.1355,-21.8954,216364,"Capital","Atlantic/Reykjavik",11:14:34,15:47:18,13:30:56,04:32:44,10:02:59,16:58:53,08:54:55,18:06:56,07:55:24,19:06:28,2020-01-01
"India","Delhi",28.6667,77.2167,28513682,"Capital","Asia/Kolkata",07:12:31,17:36:11,12:24:21,10:23:40,06:48:00,18:00:42,06:18:37,18:30:05,05:49:47,18:58:55,2020-01-01
"Indonesia","Jakarta",-6.2118,106.8416,10516927,"Capital","Asia/Jakarta",05:40:22,18:11:16,11:55:49,12:30:54,05:18:51,18:32:46,04:52:18,18:59:19,04:25:28,19:26:10,2020-01-01
"Iran (Islamic Republic of)","Tehran",35.6944,51.4215,8895947,"Capital","Asia/Tehran",07:12:31,17:02:37,12:07:34,09:50:06,06:45:41,17:29:27,06:13:48,18:01:19,05:42:45,18:32:23,2020-01-01
"Iraq","Baghdad",33.3406,44.4009,6811955,"Capital","Asia/Baghdad",07:04:39,17:06:40,12:05:39,10:02:01,06:38:42,17:32:37,06:07:46,18:03:33,05:37:34,18:33:45,2020-01-01
"Ireland","Dublin",53.3331,-6.2489,1201426,"Capital","Europe/Dublin",08:37:51,16:18:47,12:28:19,07:40:56,07:57:46,16:58:52,07:12:41,17:43:57,06:30:15,18:26:24,2020-01-01
"Isle of Man","Douglas",54.15,-4.4833,27171,"Capital","Europe/Isle_of_Man",08:35:20,16:07:11,12:21:15,07:31:51,07:54:05,16:48:26,07:07:56,17:34:35,06:24:38,18:17:53,2020-01-01
"Israel","Jerusalem",31.769,35.2163,907062,"Capital","Asia/Jerusalem",06:37:37,16:47:12,11:42:24,10:09:35,06:12:12,17:12:37,05:41:50,17:42:59,05:12:08,18:12:41,2020-01-01
"Italy","Roma (Rome)",41.8947,12.4811,4209710,"Capital","Europe/Rome",07:36:05,16:50:41,12:13:23,09:14:36,07:06:14,17:20:31,06:31:12,17:55:33,05:57:21,18:29:24,2020-01-01
"Jamaica","Kingston",17.997,-76.7936,589083,"Capital","America/Jamaica",06:37:13,17:43:58,12:10:36,11:06:45,06:14:50,18:06:21,05:47:44,18:33:27,05:20:55,19:00:16,2020-01-01
"Japan","Tokyo",35.6895,139.6917,37468302,"Capital","Asia/Tokyo",06:49:22,16:39:22,11:44:22,09:50:00,06:22:32,17:06:12,05:50:39,17:38:05,05:19:36,18:09:08,2020-01-01
"Jordan","Amman",31.9552,35.945,2064582,"Capital","Asia/Amman",06:35:09,16:43:50,11:39:30,10:08:41,06:09:40,17:09:19,05:39:14,17:39:45,05:09:28,18:09:31,2020-01-01
"Kazakhstan","Astana",51.1801,71.446,1068113,"Capital","Asia/Almaty",09:16:08,17:18:45,13:17:26,08:02:37,08:38:43,17:56:10,07:56:08,18:38:44,07:15:47,19:19:05,2020-01-01
"Kenya","Nairobi",-1.2833,36.8167,4385853,"Capital","Africa/Nairobi",06:29:01,18:42:59,12:36:00,12:13:58,06:07:43,19:04:18,05:41:31,19:30:29,05:15:11,19:56:49,2020-01-01
"Kiribati","Tarawa",1.3272,172.9813,64011,"Capital","Pacific/Tarawa",06:28:37,18:33:42,12:31:10,12:05:05,06:07:20,18:55:00,05:41:14,19:21:06,05:15:03,19:47:17,2020-01-01
"Kuwait","Al Kuwayt (Kuwait City)",29.3697,47.9783,2989270,"Capital","Asia/Kuwait",06:41:03,17:01:38,11:51:21,10:20:35,06:16:21,17:26:20,05:46:45,17:55:56,05:17:45,18:24:56,2020-01-01
"Kyrgyzstan","Bishkek",42.87,74.59,996319,"Capital","Asia/Bishkek",08:30:46,17:38:57,13:04:52,09:08:11,08:00:21,18:09:23,07:24:42,18:45:01,06:50:18,19:19:25,2020-01-01
"Lao People's Democratic Republic","Vientiane",17.9667,102.6,664754,"Capital","Asia/Vientiane",06:39:24,17:46:10,12:12:47,11:06:46,06:17:02,18:08:32,05:49:55,18:35:39,05:23:06,19:02:28,2020-01-01
"Latvia","Riga",56.946,24.1059,637089,"Capital","Europe/Riga",08:58:34,15:55:09,12:26:52,06:56:35,08:12:31,16:41:13,07:22:09,17:31:35,06:35:27,18:18:17,2020-01-01
"Lebanon","Bayrut (Beirut)",33.9,35.4833,2385271,"Capital","Asia/Beirut",06:41:43,16:40:58,11:41:20,09:59:15,06:15:34,17:07:07,05:44:25,17:38:16,05:14:01,18:08:40,2020-01-01
"Lesotho","Maseru",-29.3167,27.4833,201851,"Capital","Africa/Maseru",05:12:26,19:14:16,12:13:21,14:01:50,04:46:45,19:39:57,04:13:57,20:12:45,03:38:59,20:47:43,2020-01-01
"Liberia","Monrovia",6.3005,-10.7969,1418300,"Capital","Africa/Monrovia",06:52:27,18:40:36,12:46:31,11:48:09,06:31:04,19:01:58,06:04:57,19:28:05,05:38:53,19:54:10,2020-01-01
"Libya","Tarabulus (Tripoli)",32.8752,13.1875,1157746,"Capital","Africa/Tripoli",08:08:23,18:12:43,13:10:33,10:04:20,07:42:36,18:38:30,07:11:51,19:09:15,06:41:48,19:39:18,2020-01-01
"Liechtenstein","Vaduz",47.1415,9.5215,5470,"Capital","Europe/Vaduz",08:06:22,16:44:05,12:25:13,08:37:43,07:32:53,17:17:34,06:54:08,17:56:19,06:17:02,18:33:24,2020-01-01
"Lithuania","Vilnius",54.6892,25.2798,536055,"Capital","Europe/Vilnius",08:39:26,16:04:54,12:22:10,07:25:28,07:57:21,16:46:59,07:10:27,17:33:53,06:26:33,18:17:47,2020-01-01
"Luxembourg","Luxembourg",49.6117,6.13,119752,"Capital","Europe/Luxembourg",08:30:11,16:47:24,12:38:47,08:17:13,07:54:27,17:23:08,07:13:29,18:04:05,06:34:30,18:43:05,2020-01-01
"Madagascar","Antananarivo",-18.9137,47.5361,3058387,"Capital","Indian/Antananarivo",05:14:28,18:31:45,11:53:07,13:17:17,04:51:28,18:54:45,04:22:40,19:23:33,03:52:57,19:53:16,2020-01-01
"Malawi","Lilongwe",-13.9669,33.7873,1029639,"Capital","Africa/Blantyre",05:18:52,18:17:23,11:48:08,12:58:31,04:56:39,18:39:36,04:28:59,19:07:16,04:00:43,19:35:32,2020-01-01
"Malaysia","Kuala Lumpur",3.1412,101.6865,7563912,"Capital","Asia/Kuala_Lumpur",07:16:59,19:15:54,13:16:26,11:58:55,06:55:41,19:37:11,06:29:36,20:03:16,06:03:29,20:29:24,2020-01-01
"Maldives","Male",4.1748,73.5089,176851,"Capital","Indian/Maldives",06:11:29,18:06:53,12:09:11,11:55:24,05:50:11,18:28:12,05:24:06,18:54:17,04:58:00,19:20:23,2020-01-01
"Mali","Bamako",12.65,-8,2446749,"Capital","Africa/Bamako",06:52:17,18:18:23,12:35:20,11:26:06,06:30:30,18:40:09,06:04:02,19:06:38,05:37:43,19:32:57,2020-01-01
"Malta","Valletta",35.8997,14.5147,212768,"Capital","Europe/Malta",07:10:42,16:59:47,12:05:14,09:49:05,06:43:47,17:26:42,06:11:49,17:58:39,05:40:42,18:29:47,2020-01-01
"Marshall Islands","Majuro",7.0897,171.3803,30661,"Capital","Pacific/Majuro",06:44:52,18:30:17,12:37:34,11:45:25,06:23:28,18:51:41,05:57:19,19:17:50,05:31:13,19:43:56,2020-01-01
"Martinique","Fort-de-France",14.6089,-61.0733,79361,"Capital","America/Martinique",06:28:07,17:47:16,12:07:42,11:19:09,06:06:10,18:09:14,05:39:29,18:35:54,05:13:02,19:02:21,2020-01-01
"Mauritania","Nouakchott",18.0858,-15.9785,1205414,"Capital","Africa/Nouakchott",07:34:04,18:40:27,13:07:15,11:06:23,07:11:40,19:02:50,06:44:33,19:29:58,06:17:43,19:56:47,2020-01-01
"Mauritius","Port Louis",-20.1619,57.4989,149365,"Capital","Indian/Mauritius",05:32:08,18:54:21,12:13:15,13:22:13,05:08:54,19:17:36,04:39:45,19:46:45,04:09:35,20:16:55,2020-01-01
"Mayotte","Mamoudzou",-12.7794,45.2272,6180,"Capital","Indian/Mayotte",05:35:16,18:29:26,12:02:21,12:54:10,05:13:11,18:51:31,04:45:45,19:18:57,04:17:45,19:46:57,2020-01-01
"Mexico","Ciudad de México (Mexico City)",19.4273,-99.1419,21580827,"Capital","America/Mexico_City",07:09:19,18:10:43,12:40:01,11:01:24,06:46:44,18:33:18,06:19:24,19:00:38,05:52:24,19:27:38,2020-01-01
"Micronesia (Fed. States of)","Palikir",6.9174,158.1588,6996,"Capital","Pacific/Pohnpei",06:37:28,18:23:29,12:30:29,11:46:01,06:16:04,18:44:53,05:49:56,19:11:01,05:23:50,19:37:07,2020-01-01
"Monaco","Monaco",43.7333,7.4167,38897,"Capital","Europe/Monaco",08:02:22,17:04:55,12:33:39,09:02:33,07:31:24,17:35:53,06:55:11,18:12:06,06:20:18,18:46:59,2020-01-01
"Mongolia","Ulaanbaatar",47.9077,106.8832,1520381,"Capital","Asia/Ulaanbaatar",08:39:58,17:11:19,12:55:39,08:31:21,08:05:49,17:45:28,07:26:24,18:24:53,06:48:45,19:02:33,2020-01-01
"Montenegro","Podgorica",42.4411,19.2636,177177,"Capital","Europe/Podgorica",07:10:42,16:21:47,11:46:14,09:11:05,06:40:32,16:51:57,06:05:10,17:27:19,05:31:01,18:01:28,2020-01-01
"Montserrat","Brades Estate",16.7918,-62.2106,472,"Capital","America/Montserrat",06:36:38,17:47:51,12:12:15,11:11:13,06:14:25,18:10:04,05:47:29,18:37:00,05:20:49,19:03:41,2020-01-01
"Morocco","Rabat",34.0133,-6.8326,1846661,"Capital","Africa/Casablanca",08:31:17,18:30:02,13:30:40,09:58:45,08:05:06,18:56:13,07:33:54,19:27:25,07:03:28,19:57:51,2020-01-01
"Mozambique","Maputo",-25.9653,32.5892,1101771,"Capital","Africa/Maputo",04:59:40,18:46:10,11:52:55,13:46:30,04:35:02,19:10:48,04:03:49,19:42:01,03:31:00,20:14:51,2020-01-01
"Myanmar","Nay Pyi Taw",19.745,96.1297,500218,"Capital","Asia/Yangon",06:38:39,17:38:42,12:08:40,11:00:03,06:16:00,18:01:21,05:48:37,18:28:44,05:21:34,18:55:47,2020-01-01
"Namibia","Windhoek",-22.5594,17.0832,404280,"Capital","Africa/Windhoek",06:09:00,19:40:56,12:54:58,13:31:56,05:45:15,20:04:41,05:15:20,20:34:36,04:44:12,21:05:44,2020-01-01
"Nauru","Nauru",-0.5308,166.9112,11312,"Capital","Pacific/Nauru",06:49:45,19:01:10,12:55:27,12:11:25,06:28:27,19:22:27,06:02:17,19:48:37,05:36:00,20:14:55,2020-01-01
"Nepal","Kathmandu",27.7017,85.3206,1329732,"Capital","Asia/Kathmandu",06:52:59,17:20:52,12:06:55,10:27:53,06:28:44,17:45:07,05:59:37,18:14:14,05:31:02,18:42:49,2020-01-01
"Netherlands","Amsterdam",52.374,4.8897,1131690,"Capital","Europe/Amsterdam",08:48:15,16:39:15,12:43:45,07:51:00,08:09:26,17:18:05,07:25:31,18:02:00,06:44:02,18:43:28,2020-01-01
"New Caledonia","Nouméa",-22.2763,166.4572,197787,"Capital","Pacific/Noumea",05:11:50,18:42:43,11:57:16,13:30:53,04:48:08,19:06:25,04:18:18,19:36:14,03:47:17,20:07:16,2020-01-01
"New Zealand","Wellington",-41.2866,174.7756,411346,"Capital","Pacific/Auckland",05:49:16,20:58:43,13:23:59,15:09:27,05:17:19,21:30:39,04:34:20,22:13:39,03:43:21,23:04:37,2020-01-01
"Nicaragua","Managua",12.1328,-86.2504,1047923,"Capital","America/Managua",06:04:27,17:32:25,11:48:26,11:27:58,05:42:44,17:54:08,05:16:18,18:20:34,04:50:01,18:46:51,2020-01-01
"Niger","Niamey",13.5137,2.1098,1213781,"Capital","Africa/Niamey",07:13:22,18:36:23,12:54:53,11:23:01,06:51:31,18:58:15,06:24:57,19:24:48,05:58:34,19:51:11,2020-01-01
"Nigeria","Abuja",9.0574,7.4898,2918518,"Capital","Africa/Lagos",06:44:01,18:22:41,12:33:21,11:38:40,06:22:31,18:44:11,05:56:17,19:10:25,05:30:09,19:36:33,2020-01-01
"Niue","Alofi",-19.0585,-169.9213,727,"Capital","Pacific/Niue",05:44:23,19:02:04,12:23:14,13:17:41,05:21:22,19:25:05,04:52:33,19:53:55,04:22:48,20:23:39,2020-01-01
"Northern Mariana Islands","Saipan",15.2123,145.7545,50568,"Capital","Pacific/Saipan",06:41:41,17:58:32,12:20:07,11:16:51,06:19:39,18:20:34,05:52:54,18:47:19,05:26:23,19:13:51,2020-01-01
"Norway","Oslo",59.9127,10.7461,1012225,"Capital","Europe/Oslo",09:15:21,15:25:17,12:20:19,06:09:56,08:22:08,16:18:30,07:26:02,17:14:37,06:34:55,18:05:43,2020-01-01
"Oman","Masqat (Muscat)",23.6139,58.5922,1446563,"Capital","Asia/Muscat",06:46:24,17:31:21,12:08:52,10:44:57,06:23:04,17:54:41,05:54:57,18:22:48,05:27:15,18:50:30,2020-01-01
"Pakistan","Islamabad",33.7035,73.0594,1061412,"Capital","Asia/Karachi",07:10:54,17:11:05,12:10:59,10:00:11,06:44:49,17:37:09,06:13:45,18:08:14,05:43:25,18:38:34,2020-01-01
"Palau","Koror",7.3426,134.4789,11410,"Capital","Pacific/Palau",06:12:57,17:57:30,12:05:14,11:44:33,05:51:32,18:18:55,05:25:23,18:45:04,04:59:17,19:11:10,2020-01-01
"Panama","Ciudad de Panamá (Panama City)",8.9958,-79.5196,1783490,"Capital","America/Panama",06:32:03,18:10:57,12:21:30,11:38:54,06:10:33,18:32:27,05:44:20,18:58:40,05:18:12,19:24:48,2020-01-01
"Papua New Guinea","Port Moresby",-9.4431,147.1797,366862,"Capital","Pacific/Port_Moresby",05:53:17,18:35:31,12:14:24,12:42:14,05:31:33,18:57:16,05:04:37,19:24:12,04:37:17,19:51:32,2020-01-01
"Paraguay","Asunción",-25.3007,-57.6359,3222199,"Capital","America/Asuncion",06:02:11,19:45:41,12:53:56,13:43:30,05:37:45,20:10:07,05:06:49,20:41:03,04:34:22,21:13:31,2020-01-01
"Peru","Lima",-12.0432,-77.0282,10390607,"Capital","America/Lima",05:45:49,18:37:15,12:11:32,12:51:26,05:23:49,18:59:15,04:56:31,19:26:33,04:28:41,19:54:23,2020-01-01
"Philippines","Manila",14.6042,120.9822,13482468,"Capital","Asia/Manila",06:19:42,17:38:46,11:59:14,11:19:04,05:57:44,18:00:44,05:31:03,18:27:25,05:04:35,18:53:53,2020-01-01
"Poland","Warszawa (Warsaw)",52.2298,21.0118,1767798,"Capital","Europe/Warsaw",07:43:02,15:35:27,11:39:15,07:52:25,07:04:23,16:14:06,06:20:38,16:57:51,05:39:18,17:39:11,2020-01-01
"Portugal","Lisboa (Lisbon)",38.7169,-9.1399,2927316,"Capital","Europe/Lisbon",07:53:01,17:26:45,12:39:53,09:33:44,07:24:52,17:54:55,06:51:36,18:28:11,06:19:18,19:00:29,2020-01-01
"Puerto Rico","San Juan",18.4663,-66.1057,2454337,"Capital","America/Puerto_Rico",06:55:20,18:00:20,12:27:50,11:05:00,06:32:53,18:22:46,06:05:43,18:49:57,05:38:50,19:16:49,2020-01-01
"Qatar","Ad-Dawhah (Doha)",25.2747,51.5245,633401,"Capital","Asia/Qatar",06:18:04,16:56:15,11:37:09,10:38:11,05:54:23,17:19:55,05:25:54,17:48:25,04:57:52,18:16:27,2020-01-01
"Republic of Korea","Seoul",37.5683,126.9778,9963497,"Capital","Asia/Seoul",07:45:16,17:25:13,12:35:14,09:39:57,07:17:38,17:52:51,06:44:55,18:25:34,06:13:07,18:57:22,2020-01-01
"Republic of Moldova","Chişinău",47.0056,28.8575,509707,"Capital","Europe/Chisinau",07:48:29,16:27:13,12:07:51,08:38:44,07:15:07,17:00:35,06:36:28,17:39:14,05:59:29,18:16:14,2020-01-01
"Réunion","Saint-Denis",-20.8823,55.4504,147209,"Capital","Indian/Reunion",05:38:54,19:04:00,12:21:27,13:25:06,05:15:30,19:27:23,04:46:08,19:56:45,04:15:42,20:27:12,2020-01-01
"Romania","Bucuresti (Bucharest)",44.4328,26.1043,1821380,"Capital","Europe/Bucharest",07:50:01,16:47:43,12:18:52,08:57:42,07:18:35,17:19:09,06:41:53,17:55:51,06:06:35,18:31:09,2020-01-01
"Russian Federation","Moskva (Moscow)",55.755,37.6218,12409738,"Capital","Europe/Moscow",08:56:36,16:08:58,12:32:47,07:12:22,08:12:46,16:52:48,07:24:18,17:41:16,06:39:08,18:26:26,2020-01-01
"Rwanda","Kigali",-1.9474,30.0579,1057836,"Capital","Africa/Kigali",05:54:56,18:11:10,12:03:03,12:16:14,05:33:37,18:32:29,05:07:23,18:58:43,04:41:00,19:25:06,2020-01-01
"Saint Helena","Jamestown",-15.9387,-5.7168,603,"Capital","Atlantic/St_Helena",05:53:17,18:59:06,12:26:12,13:05:49,05:30:47,19:21:36,05:02:43,19:49:41,04:33:56,20:18:28,2020-01-01
"Saint Kitts and Nevis","Basseterre",17.2948,-62.7261,14434,"Capital","America/St_Kitts",06:39:38,17:48:59,12:14:18,11:09:21,06:17:21,18:11:16,05:50:21,18:38:16,05:23:36,19:05:00,2020-01-01
